id,station,group,time,susceptibility,severity,benefits,barriers,self_efficacy,cues_to_action,ttm_stage,safe_behavior
113,S05,control,post,3.14,3.21,4.1,1.56,1.81,4.22,5,3.59
113,S05,control,followup,3.21,3.26,4.2,1.81,2.04,4.09,5,3.08
114,S06,control,pre,4.01,4.07,4.37,2.89,1.74,3.09,5,2.2
114,S06,control,post,4.22,4.18,4.15,2.78,2.14,2.9,4,2.05
114,S06,control,followup,4.11,4.19,4.21,2.73,1.99,3.11,5,2.57
115,S07,control,pre,2.66,3.34,2.71,3.51,3.92,2.75,5,2.61
115,S07,control,post,2.65,3.44,2.61,3.82,4.07,2.79,3,2.66
115,S07,control,followup,2.62,3.36,2.75,3.79,4.1,2.73,4,2.89
116,S08,control,pre,2.96,3.03,4.97,3.69,3.31,2.93,4,2.91
116,S08,control,post,3.0,3.01,4.98,3.7,3.0,2.95,5,3.21
116,S08,control,followup,2.98,2.96,5,3.63,3.34,2.99,5,2.83
117,S09,control,pre,3.2,2.74,5,3.59,3.0,4.4,5,2.95
117,S09,control,post,3.21,2.83,5,3.81,3.08,4.3,4,3.59
117,S09,control,followup,3.14,2.88,4.8,3.83,3.17,4.33,5,3.22
118,S10,control,pre,1.54,4.76,3.44,3.91,3.21,2.07,4,2.54
118,S10,control,post,1.61,4.74,3.37,3.85,3.35,2.21,4,2.43
118,S10,control,followup,1.7,4.74,3.27,3.63,3.35,2.2,5,2.35
119,S11,control,pre,3.74,2.9,3.99,3.83,2.07,2.98,4,3.55
119,S11,control,post,4.0,3.17,3.82,4.03,2.19,3.14,4,3.03
119,S11,control,followup,3.78,3.06,3.87,4.1,2.42,2.95,3,3.22
120,S12,control,pre,3.24,3.36,3.33,1.68,2.66,2.68,5,3.64
120,S12,control,post,3.35,3.5,3.55,1.87,2.9,2.79,4,3.42
120,S12,control,followup,3.3,3.37,3.56,1.74,3.0,2.66,5,3.56
121,S01,control,pre,3.3,3.39,3.1,2.54,2.33,2.87,4,3.25
121,S01,control,post,3.36,3.38,3.01,2.54,2.49,2.68,5,2.54
121,S01,control,followup,3.27,3.58,3.2,2.79,2.56,2.81,4,2.65
122,S02,control,pre,3.32,4.55,4.04,3.06,3.26,3.52,5,3.58
122,S02,control,post,3.48,4.71,4.07,3.26,3.39,3.45,5,3.31
122,S02,control,followup,3.3,4.45,3.89,3.33,3.3,3.43,5,3.66
123,S03,control,pre,3.97,4.2,4.22,1.53,2.65,2.81,5,3.67
123,S03,control,post,3.98,4.12,4.32,1.54,2.58,2.82,5,3.73
123,S03,control,followup,4.12,3.94,4.19,1.52,2.77,2.88,5,4.2
124,S04,control,pre,4.02,3.18,3.48,3.41,3.54,3.48,5,3.33
124,S04,control,post,3.84,2.99,3.6,3.38,3.62,3.27,5,3.55
124,S04,control,followup,3.9,3.26,3.45,3.61,3.94,3.32,5,3.22
125,S05,control,pre,4.02,2.92,4.46,3.08,2.67,3.38,4,2.68
125,S05,control,post,3.99,2.94,4.27,3.32,2.78,3.12,5,3.52
125,S05,control,followup,3.85,2.66,4.25,3.24,2.59,3.74,4,3.0
126,S06,control,pre,3.3,4.06,4.12,2.97,2.62,3.56,5,3.16
126,S06,control,post,3.4,4.03,4.24,2.84,2.77,3.44,5,3.44
126,S06,control,followup,3.18,3.91,4.42,3.0,2.63,3.27,5,3.7
127,S07,control,pre,2.96,3.39,3.52,1.79,3.38,3.02,5,3.47
127,S07,control,post,3.03,3.47,3.42,1.77,3.32,2.96,5,3.47
127,S07,control,followup,3.01,3.52,3.55,1.6,3.24,2.93,5,3.57
128,S08,control,pre,3.88,4.92,3.22,2.03,3.55,3.04,5,3.74
128,S08,control,post,4.01,5,3.06,2.22,3.88,3.19,5,3.48
128,S08,control,followup,3.93,5,2.98,2.19,3.59,2.94,5,3.08
129,S09,control,pre,3.19,3.58,3.65,4.03,3.7,3.07,4,3.17
129,S09,control,post,2.92,3.65,4.06,3.97,3.96,3.41,5,2.68
129,S09,control,followup,3.3,3.47,4.03,3.97,3.96,3.02,5,3.01
130,S10,control,pre,4.21,4.03,4.06,3.61,3.23,3.28,4,3.87
130,S10,control,post,4.3,3.99,3.75,3.43,3.34,3.27,5,2.9
130,S10,control,followup,4.3,4.0,3.86,3.84,3.3,3.49,5,3.05
131,S11,control,pre,4.08,4.54,3.73,2.45,3.13,3.63,5,3.4
131,S11,control,post,3.97,4.61,3.76,2.26,2.78,3.29,5,3.08
131,S11,control,followup,3.89,4.57,3.78,2.36,2.74,3.3,5,3.3
132,S12,control,pre,3.32,3.43,3.56,1.52,2.5,3.13,5,2.78
132,S12,control,post,2.93,3.3,3.59,1.54,2.6,3.2,4,2.4
132,S12,control,followup,3.13,3.44,3.47,1.75,2.48,3.17,5,3.06
133,S01,control,pre,3.27,3.16,4.61,2.65,3.5,3.0,5,3.22
133,S01,control,post,3.43,3.13,4.83,2.82,3.53,3.11,5,3.22
133,S01,control,followup,3.36,3.11,4.75,2.71,3.55,2.88,5,3.45
134,S02,control,pre,3.47,3.71,4.3,3.02,3.31,4.44,5,3.15
134,S02,control,post,3.42,3.91,4.12,2.94,3.23,4.1,5,3.36
134,S02,control,followup,3.25,3.97,4.07,3.1,3.67,4.32,5,3.42
135,S03,control,pre,2.21,4.28,2.9,4.19,3.21,1.59,3,3.21
135,S03,control,post,2.36,4.41,3.01,4.3,3.3,1.57,4,2.61
135,S03,control,followup,2.38,4.42,2.97,4.1,3.33,1.6,4,3.07
136,S04,control,pre,2.31,3.87,2.45,3.35,3.7,2.55,4,2.93
136,S04,control,post,2.37,3.8,2.45,3.01,3.86,2.79,5,3.38
136,S04,control,followup,2.33,3.73,2.5,3.39,3.62,2.59,5,3.43
137,S05,control,pre,2.82,3.3,2.79,2.07,1.9,2.73,5,2.48
137,S05,control,post,2.74,3.49,2.98,1.97,1.85,2.86,4,2.6
137,S05,control,followup,2.75,3.48,3.01,1.97,1.78,2.81,5,2.83
138,S06,control,pre,3.7,2.44,3.4,2.16,3.93,4.24,5,3.3
138,S06,control,post,3.5,2.54,3.6,2.34,3.89,4.3,5,3.59
138,S06,control,followup,3.47,2.55,3.61,2.14,3.6,4.34,5,4.01
139,S07,control,pre,3.9,3.84,3.9,3.65,2.84,2.41,4,3.12
139,S07,control,post,3.95,4.13,4.07,3.7,2.87,2.43,5,3.39
139,S07,control,followup,3.81,3.99,3.9,3.77,2.78,2.31,4,3.52
140,S08,control,pre,3.12,3.41,3.07,3.76,1.82,2.7,3,2.74
140,S08,control,post,2.95,3.42,2.93,3.53,1.5,2.54,3,2.61
140,S08,control,followup,2.9,3.41,3.11,3.62,1.74,2.62,2,2.62
141,S09,control,pre,3.26,4.55,4.68,2.44,3.9,3.4,5,4.25
141,S09,control,post,3.15,4.62,4.46,2.4,3.68,3.56,5,3.81
141,S09,control,followup,3.37,4.51,4.45,2.42,3.8,3.62,5,4.0
142,S10,control,pre,2.95,3.79,3.75,2.8,3.61,2.48,5,3.09
142,S10,control,post,2.94,3.7,3.84,2.91,3.85,2.45,4,3.32
142,S10,control,followup,2.84,3.94,3.77,2.69,3.77,2.32,5,3.33
143,S11,control,pre,3.64,2.27,3.5,3.21,3.1,2.07,5,2.46
143,S11,control,post,3.66,2.17,3.61,3.18,2.81,2.19,5,2.39
143,S11,control,followup,3.29,2.18,3.73,3.19,3.22,2.25,4,2.18
144,S12,control,pre,3.18,3.8,3.24,2.27,2.48,3.6,5,3.58
144,S12,control,post,2.92,3.82,3.37,2.0,2.85,3.75,5,3.55
144,S12,control,followup,2.67,3.82,3.67,2.19,2.81,3.78,4,3.79
145,S01,control,pre,3.07,3.81,4.35,3.04,3.84,3.05,5,3.02
145,S01,control,post,3.09,4.01,4.0,3.08,3.62,2.68,5,3.15
145,S01,control,followup,3.09,3.67,4.11,3.23,3.77,2.8,5,3.2
146,S02,control,pre,2.86,4.45,3.65,3.19,2.95,2.77,5,2.85
146,S02,control,post,2.65,4.26,3.64,3.03,2.73,2.53,5,2.75
146,S02,control,followup,2.77,4.39,3.48,2.87,3.0,2.84,4,2.76
147,S03,control,pre,4.4,3.05,3.28,3.48,3.25,2.16,4,3.25
147,S03,control,post,4.28,2.95,3.21,3.56,3.11,2.06,4,3.33
147,S03,control,followup,4.39,3.0,3.29,3.54,3.0,2.08,5,3.29
148,S04,control,pre,4.12,3.33,2.89,3.4,3.39,2.51,5,2.09
148,S04,control,post,4.14,3.01,2.84,3.34,3.41,2.46,4,2.18
148,S04,control,followup,4.18,3.29,2.81,3.49,3.29,2.52,4,2.18
149,S05,control,pre,3.87,4.86,2.69,2.74,1.49,4.15,4,2.48
149,S05,control,post,3.87,4.9,2.75,2.74,1.43,4.09,4,2.59
149,S05,control,followup,3.84,4.99,2.71,2.61,1.31,4.12,5,2.85
150,S06,control,pre,2.6,3.79,2.18,2.48,3.6,2.17,5,2.65
150,S06,control,post,2.7,3.96,2.0,2.35,3.61,2.32,5,2.52
150,S06,control,followup,2.78,3.92,2.35,2.44,3.51,2.44,5,2.39
151,S07,control,pre,3.3,3.59,3.17,2.91,3.98,3.37,5,2.65
151,S07,control,post,3.21,3.59,3.26,2.77,4.09,3.05,5,3.16
151,S07,control,followup,3.21,3.67,3.34,2.88,4.18,3.37,5,2.8
152,S08,control,pre,3.76,3.35,3.6,3.76,3.06,2.43,4,2.92
152,S08,control,post,3.92,3.65,3.31,3.8,2.9,2.71,5,2.88
152,S08,control,followup,4.01,3.42,3.58,3.75,2.95,2.65,4,3.16
153,S09,control,pre,3.69,2.99,3.75,3.81,2.53,2.54,4,2.38
153,S09,control,post,3.95,2.91,3.95,3.62,2.78,2.58,5,2.78
153,S09,control,followup,3.89,2.97,3.96,3.78,2.77,2.68,5,2.56
154,S10,control,pre,4.16,4.01,3.18,2.87,1.86,3.3,4,3.37
154,S10,control,post,3.85,4.08,3.44,3.13,1.62,3.38,4,3.15
154,S10,control,followup,3.97,3.92,3.33,2.81,1.82,3.27,5,3.22
155,S11,control,pre,1.77,3.42,4.08,3.58,4.08,3.73,5,3.89
155,S11,control,post,2.08,3.5,4.2,3.45,4.18,3.44,5,3.19
155,S11,control,followup,2.09,3.42,4.11,3.39,4.35,3.56,5,4.01
156,S12,control,pre,2.82,3.33,4.12,3.9,3.4,2.65,4,3.4
156,S12,control,post,2.99,3.34,4.27,3.98,3.43,2.45,5,4.17
156,S12,control,followup,2.78,3.34,4.17,4.04,3.71,2.65,4,3.84
157,S01,control,pre,4.25,2.49,4.88,3.1,1.68,2.31,5,2.62
157,S01,control,post,4.34,2.35,4.36,3.24,1.45,2.13,2,3.07
157,S01,control,followup,4.34,2.37,4.65,3.28,1.22,2.29,2,2.66
158,S02,control,pre,2.75,3.48,4.55,4.46,3.24,2.81,4,2.95
158,S02,control,post,2.78,3.73,4.9,4.22,3.26,2.84,5,2.7
158,S02,control,followup,2.83,3.51,4.59,4.21,3.18,2.71,5,2.63
159,S03,control,pre,3.79,3.8,4.13,4.16,3.42,3.35,5,3.21
159,S03,control,post,3.72,3.9,4.33,4.02,3.14,3.38,5,2.87
159,S03,control,followup,3.81,3.96,4.51,4.33,3.34,3.48,5,3.36
160,S04,control,pre,3.62,3.81,4.51,3.49,3.27,3.66,5,3.07
160,S04,control,post,3.6,3.65,4.48,3.18,3.03,3.79,5,2.59
160,S04,control,followup,3.53,4.02,4.35,3.48,3.1,3.66,5,2.69
161,S05,control,pre,1.81,4.47,4.56,2.48,2.62,1.71,5,3.27
161,S05,control,post,1.87,4.69,4.88,2.33,2.67,1.67,5,3.87
161,S05,control,followup,2.04,4.42,4.72,2.43,2.64,1.71,5,3.8
162,S06,control,pre,4.29,2.79,3.24,3.16,2.71,4.33,4,3.25
162,S06,control,post,4.41,3.04,3.19,3.31,2.45,4.48,5,3.16
162,S06,control,followup,4.21,2.92,2.98,3.17,2.45,4.35,5,3.67
163,S07,control,pre,3.82,3.14,2.1,2.38,4.46,2.38,5,3.59
163,S07,control,post,3.82,3.21,1.98,2.49,4.26,2.47,5,2.88
163,S07,control,followup,3.9,3.26,2.07,2.56,4.45,2.51,5,3.06
164,S08,control,pre,3.42,4.25,3.59,2.64,3.75,2.42,5,3.1
164,S08,control,post,3.34,4.19,3.74,2.49,3.76,2.34,5,3.54
164,S08,control,followup,3.5,4.42,3.68,2.69,3.85,2.7,5,3.38
165,S09,control,pre,2.76,3.41,3.14,4.02,2.44,2.8,4,2.66
165,S09,control,post,2.95,3.55,3.19,3.66,2.63,3.05,4,3.18
165,S09,control,followup,2.8,3.6,3.21,3.6,2.28,3.35,4,2.61
166,S10,control,pre,3.36,3.76,3.13,2.97,2.75,2.51,4,2.93
166,S10,control,post,3.17,3.69,3.12,2.78,2.67,2.53,5,3.63
166,S10,control,followup,3.34,3.75,3.24,2.69,2.75,2.63,4,2.97
167,S11,control,pre,3.13,2.81,3.75,3.53,4.48,2.62,5,3.35
167,S11,control,post,3.19,2.66,3.84,3.63,4.32,2.6,5,3.22
167,S11,control,followup,3.07,2.78,3.8,3.71,4.4,2.72,5,3.91
168,S12,control,pre,3.5,4.77,3.81,3.54,3.51,2.82,5,2.95
168,S12,control,post,3.27,4.9,3.8,3.63,3.33,2.9,5,3.26
168,S12,control,followup,3.61,4.6,3.81,3.25,3.48,2.81,5,3.15
169,S01,control,pre,3.32,4.82,3.7,2.5,3.32,3.68,5,3.72
169,S01,control,post,3.21,4.45,3.81,2.53,3.18,3.64,5,3.26
169,S01,control,followup,3.35,4.67,3.61,2.63,3.31,3.62,5,3.14
170,S02,control,pre,3.42,3.5,4.46,4.16,3.15,3.3,4,2.73
170,S02,control,post,3.34,3.53,4.3,4.01,3.36,3.35,5,2.25
170,S02,control,followup,3.36,3.51,4.49,4.27,3.56,3.33,5,2.74
171,S03,control,pre,3.35,4.46,3.04,3.88,2.93,2.93,4,2.46
171,S03,control,post,3.6,4.46,2.88,4.26,2.58,3.16,4,2.8
171,S03,control,followup,3.39,4.45,2.76,4.29,2.72,3.06,3,2.74
172,S04,control,pre,4.53,4.55,3.96,3.2,3.11,1.96,5,2.82
172,S04,control,post,4.54,4.68,4.09,3.29,2.67,2.0,5,2.77
172,S04,control,followup,4.25,4.5,3.95,3.35,2.89,2.01,5,3.11
173,S05,control,pre,3.74,2.62,3.43,4.59,2.59,3.55,4,3.68
173,S05,control,post,3.71,2.63,3.52,4.55,2.52,3.6,4,3.07
173,S05,control,followup,3.78,2.48,3.61,4.45,2.78,3.62,2,2.84
174,S06,control,pre,3.35,4.24,3.95,2.5,2.54,2.24,5,2.95
174,S06,control,post,3.15,4.17,3.72,2.5,2.37,2.46,3,3.09
174,S06,control,followup,3.01,4.2,3.8,2.48,2.53,2.44,5,2.72
175,S07,control,pre,2.75,3.9,4.02,2.57,2.63,3.0,5,3.22
175,S07,control,post,2.71,3.77,4.21,2.29,2.73,3.14,5,3.59
175,S07,control,followup,2.96,3.99,4.08,2.28,2.85,3.06,5,3.85
176,S08,control,pre,3.18,3.87,3.89,3.87,3.26,2.43,4,3.0
176,S08,control,post,3.31,3.76,4.26,3.61,3.06,2.71,5,3.42
176,S08,control,followup,3.19,3.87,4.13,3.81,3.24,2.42,5,3.13
177,S09,control,pre,3.98,3.32,3.55,3.21,4.91,3.98,5,3.6
177,S09,control,post,3.95,3.63,3.87,3.06,4.9,4.3,5,3.48
177,S09,control,followup,4.06,3.69,3.86,3.2,4.75,3.82,5,3.51
178,S10,control,pre,3.24,3.87,3.73,3.57,3.61,3.18,5,2.88
178,S10,control,post,3.24,3.83,3.7,3.45,3.76,2.89,5,2.56
178,S10,control,followup,3.25,3.93,3.83,3.61,3.82,3.42,5,2.67
179,S11,control,pre,3.11,3.12,4.11,2.12,3.1,2.46,5,3.34
179,S11,control,post,3.06,3.12,3.99,2.15,3.27,2.62,5,3.15
179,S11,control,followup,2.98,3.02,4.13,2.21,3.36,2.55,5,3.3
180,S12,control,pre,3.63,3.4,4.17,3.7,2.51,3.56,4,2.8
180,S12,control,post,3.82,3.47,4.2,3.65,2.58,3.41,3,3.1
180,S12,control,followup,3.87,3.36,4.08,3.79,2.54,3.38,4,2.73
